# ang                   flam                  
  189.28687081727125    2824096.633117101     
  198.20789512288886    2824093.5323789385    
  207.54936419743206    2889871.8848094526    
  217.33109345644746    2889868.7118528574    
  227.57283274515163    2889878.2307330943    
  238.2982611039816     2889875.8510100953    
  249.52917516641136    2889872.6780491457    
  261.28939829762476    2957183.1482289005    
  273.60267502994344    2957192.888834801     
  286.49747382652964    2957189.6419626023    
  300.0                 2957186.395093969     
  314.13889552999615    2957183.9599448335    
  328.9434299496652     3026068.8791418415    
  344.4464192541215     3026065.5566467317    
  360.6792670235008     3026068.879141842     
  377.6779552777704     3026065.9719584207    
  395.476917354805      3026069.294453988     
  414.1156067514867     3096552.0352866105    
  433.63177886869937    3096555.8601590227    
  454.06869360173573    3096552.460272201     
  475.46774892081555    3168683.8423249866    
  497.87637835372846    3168680.7981295297    
